candidat,id,erreur_inf,erreur_sup,rank,parti,nuance,img_url
Yannick Jadot,20211112_bva,7.1009,10.8991,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
Marine Le Pen,20211112_bva,24.0538,29.9462,2,Rassemblement national,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_marine_le_pen.png
Valérie Pécresse,20211112_bva,8.9236,13.0764,5,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_valerie_pecresse.png
Emmanuel Macron,20211112_bva,25.0204,30.9796,1,La République en marche,CENT,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_emmanuel_macron.png
Nathalie Arthaud,20211112_bva,0.7029,2.2971,17,Parti communiste français,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nathalie_arthaud.png
Jean-Luc Mélenchon,20211112_bva,5.3268,8.6732,6,La France insoumise,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_luc-melenchon.png
Marine Le Pen,20211112_bva,15.4807,20.5193,2,Rassemblement national,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_marine_le_pen.png
Fabien Roussel,20211112_bva,1.0819,2.9181,14,Lutte ouvrière,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_fabien_roussel.png
Nicolas Dupont-Aignan,20211112_bva,0.7029,2.2971,12,Debout la France,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nicolas_dupont_aignan.png
Philippe Poutou,20211112_bva,0.7029,2.2971,15,Nouveau parti anticapitaliste,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_philippe_poutou.png
Jean Lassalle,20211112_bva,0.3475,1.6525,18,Résistons,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_lassalle.png
Anne Hidalgo,20211112_bva,2.715,5.285,9,Parti socialiste,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_anne_hidalgo.png
Yannick Jadot,20211112_bva,6.221,9.779,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
François Asselineau,20211112_bva,0.0375,0.9625,19,Union populaire républicaine,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_francois_asselineau.png
Xavier Bertrand,20211112_bva,9.869,14.131,4,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_xavier_bertrand.png
Eric Zemmour,20211112_bva,12.6585,17.3415,3,Sans étiquette,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_eric_zemmour.png
Emmanuel Macron,20211112_bva,23.1236,28.8764,1,La République en marche,CENT,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_emmanuel_macron.png
Arnaud Montebourg,20211112_bva,1.0819,2.9181,13,Sans étiquette,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_arnaud_montebourg.png
Arnaud Montebourg,20211112_bva,1.0765,2.9235,13,Sans étiquette,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_arnaud_montebourg.png
Anne Hidalgo,20211112_bva,3.5623,6.4377,9,Parti socialiste,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_anne_hidalgo.png
François Asselineau,20211112_bva,0.3437,1.6563,19,Union populaire républicaine,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_francois_asselineau.png
Emmanuel Macron,20211112_bva,23.1065,28.8935,1,La République en marche,CENT,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_emmanuel_macron.png
Philippe Poutou,20211112_bva,0.6982,2.3018,15,Nouveau parti anticapitaliste,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_philippe_poutou.png
Jean-Luc Mélenchon,20211112_bva,5.7625,9.2375,6,La France insoumise,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_luc-melenchon.png
Yannick Jadot,20211112_bva,6.2104,9.7896,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
Nicolas Dupont-Aignan,20211112_bva,1.4701,3.5299,12,Debout la France,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nicolas_dupont_aignan.png
Eric Zemmour,20211112_bva,12.6446,17.3554,3,Sans étiquette,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_eric_zemmour.png
Valérie Pécresse,20211112_bva,7.1122,10.8878,5,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_valerie_pecresse.png
Fabien Roussel,20211112_bva,1.4701,3.5299,14,Lutte ouvrière,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_fabien_roussel.png
Jean Lassalle,20211112_bva,0.3437,1.6563,18,Résistons,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_lassalle.png
Nathalie Arthaud,20211112_bva,0.3437,1.6563,17,Parti communiste français,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nathalie_arthaud.png
Marine Le Pen,20211112_bva,15.4657,20.534300000000002,2,Rassemblement national,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_marine_le_pen.png
Eric Zemmour,20211112_bva,12.6304,17.3696,3,Sans étiquette,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_eric_zemmour.png
Fabien Roussel,20211112_bva,1.4639,3.5361,14,Lutte ouvrière,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_fabien_roussel.png
Marine Le Pen,20211112_bva,16.3966,21.6034,2,Rassemblement national,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_marine_le_pen.png
Philippe Poutou,20211112_bva,0.6934,2.3066,15,Nouveau parti anticapitaliste,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_philippe_poutou.png
Nicolas Dupont-Aignan,20211112_bva,1.868,4.132,12,Debout la France,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nicolas_dupont_aignan.png
Yannick Jadot,20211112_bva,6.6493,10.3507,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
Jean Lassalle,20211112_bva,0.3397,1.6603,18,Résistons,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_lassalle.png
Michel Barnier,20211112_bva,6.1997,9.8003,7,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_michel_barnier.png
Emmanuel Macron,20211112_bva,24.0538,29.9462,1,La République en marche,CENT,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_emmanuel_macron.png
Arnaud Montebourg,20211112_bva,1.0709,2.9291,13,Sans étiquette,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_arnaud_montebourg.png
Nathalie Arthaud,20211112_bva,0.3397,1.6603,17,Parti communiste français,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nathalie_arthaud.png
François Asselineau,20211112_bva,0,0,19,Union populaire républicaine,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_francois_asselineau.png
Anne Hidalgo,20211112_bva,2.6996000000000002,5.3004,9,Parti socialiste,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_anne_hidalgo.png
Jean-Luc Mélenchon,20211112_bva,5.7521,9.2479,6,La France insoumise,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_luc-melenchon.png
Arnaud Montebourg,20211115_ow,2.0257,3.9743,13,Sans étiquette,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_arnaud_montebourg.png
Nathalie Arthaud,20211115_ow,0.4317,1.5683,17,Parti communiste français,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nathalie_arthaud.png
Anne Hidalgo,20211115_ow,3.7553,6.2447,9,Parti socialiste,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_anne_hidalgo.png
Yannick Jadot,20211115_ow,6.4506,9.5494,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
Marine Le Pen,20211115_ow,16.7595,21.2405,2,Rassemblement national,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_marine_le_pen.png
Nicolas Dupont-Aignan,20211115_ow,2.0257,3.9743,12,Debout la France,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nicolas_dupont_aignan.png
Eric Zemmour,20211115_ow,10.1441,13.8559,3,Sans étiquette,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_eric_zemmour.png
Philippe Poutou,20211115_ow,0.4317,1.5683,15,Nouveau parti anticapitaliste,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_philippe_poutou.png
Jean-Luc Mélenchon,20211115_ow,7.3655,10.6345,6,La France insoumise,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_luc-melenchon.png
Xavier Bertrand,20211115_ow,11.0793,14.9207,4,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_xavier_bertrand.png
Fabien Roussel,20211115_ow,1.2004,2.7996,14,Lutte ouvrière,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_fabien_roussel.png
Emmanuel Macron,20211115_ow,21.5608,26.4392,1,La République en marche,CENT,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_emmanuel_macron.png
Marine Le Pen,20211115_ow,17.7295,22.2705,2,Rassemblement national,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_marine_le_pen.png
Philippe Poutou,20211115_ow,0.4352,1.5648,15,Nouveau parti anticapitaliste,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_philippe_poutou.png
Fabien Roussel,20211115_ow,1.2053,2.7947,14,Lutte ouvrière,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_fabien_roussel.png
Nicolas Dupont-Aignan,20211115_ow,2.0317,3.9683,12,Debout la France,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nicolas_dupont_aignan.png
Jean-Luc Mélenchon,20211115_ow,7.3755,10.6245,6,La France insoumise,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_luc-melenchon.png
Anne Hidalgo,20211115_ow,4.6519,7.3481,9,Parti socialiste,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_anne_hidalgo.png
Emmanuel Macron,20211115_ow,21.5757,26.4243,1,La République en marche,CENT,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_emmanuel_macron.png
Nathalie Arthaud,20211115_ow,0.4352,1.5648,17,Parti communiste français,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nathalie_arthaud.png
Valérie Pécresse,20211115_ow,9.2239,12.7761,5,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_valerie_pecresse.png
